"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","板快行情","查询概念板块行情列表数据_HK","0","0","1","0","0"
"","板快行情","新股日历获取已上市列表","0","0","1","0","0"
"","k线","五日查询_优化版本 Version 2.0_SH大盘","0","0","1","0","0"
"","板快行情","全部股板行情数据_HK11:委比","0","0","1","0","0"
"","k线","日K查询_SH大盘","0","0","1","0","0"
"","k线","日K查询_SZ个股","1","0","0","0","0"
"","","用户密码登录","0","0","1","0","0"
"","k线","分时查询_优化版本 Version 2.0_SH大盘","1","0","0","0","0"
"","板快行情","全部股板行情数据_HS8:振幅","0","0","1","0","0"
"","板快行情","全部股板行情数据_US9:市值","0","0","1","0","0"
"","","添加自选股_US个股","0","0","1","0","0"
"","A股","A股F10获取利润表详情页数据","0","0","1","0","0"
"","k线","蜡烛图1分钟查询_优化版本 Version 2.0_HK","1","0","0","0","0"
"","A股","新股日历分页获取已上市列表","0","1","0","0","0"
"","板快行情","全部股板行情数据_HK7:换手率","0","0","1","0","0"
"","板快行情","新股日历获取可认购、待上市、今日上市数量","0","0","1","0","0"
"","k线","最新日K_US个股","1","0","0","0","0"
"","k线","年K查询_SH个股","0","0","1","0","0"
"","A股","个股新闻分页查询","0","0","1","0","0"
"","板快行情","全部股板行情数据_US2:涨跌价","0","0","1","0","0"
"","k线","月K查询_SZ大盘","0","0","1","0","0"
"","k线","分时查询_优化版本 Version 2.0_US大盘","0","0","1","0","0"
"","","自选股股票列表_SH&HK&SZ","0","0","1","0","0"
"","k线","带蜡烛图的分钟查询_HK","0","0","1","0","0"
"","板快行情","查询板块详情页成分股列表_US概念","0","0","1","0","0"
"","板快行情","全部股板行情数据_HS5:成交额","0","0","1","0","0"
"","k线","带蜡烛图的分钟查询_SH","1","0","0","0","0"
"","k线","分时查询_优化版本 Version 2.0_SZ个股","1","0","0","0","0"
"","k线","分时查询_优化版本 Version 2.0_SZ大盘","1","0","0","0","0"
"","板快行情","全部股板行情数据_HK9:市值","0","0","1","0","0"
"","k线","分时查询_优化版本 Version 2.0_HK个股","0","0","1","0","0"
"","","添加自选股_SZ个股","0","0","1","0","0"
"","k线","五日查询_优化版本 Version 2.0_SH个股","0","0","1","0","0"
"","A股","个股研报详情","0","0","1","0","0"
"","板快行情","获取板数据列表_US中概股","0","0","1","0","0"
"","A股","新股日历获取待上市、今日上市数量","0","0","1","0","0"
"","板快行情","查询股票市场涨跌概况_参数为0","1","0","0","0","0"
"","k线","月K查询_HK大盘","0","0","1","0","0"
"","","添加自选股_US大盘","0","0","1","0","0"
"","板快行情","查询板块详情页成分股列表_HK概念","0","0","1","0","0"
"","","自选股股票列表_SH","0","0","1","0","0"
"","k线","月K查询_US大盘","1","0","0","0","0"
"","","自选股股票列表_SH&HK","0","0","1","0","0"
"","板快行情","全部股板行情数据_HK1:涨跌幅","0","0","1","0","0"
"","板快行情","获取板数据列表_HS创业板","0","0","1","0","0"
"","k线","周K查询_SH个股","0","0","1","0","0"
"","k线","日K查询_SH个股","1","0","0","0","0"
"","","添加自选股_SH大盘","0","0","1","0","0"
"","k线","五日查询_优化版本 Version 2.0_HK大盘","0","2","0","0","0"
"","板快行情","查询股票市场涨跌概况_HK","0","0","1","0","0"
